trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1463,False,"{'a': 0.002, 'e': 0.053718383445935165}",20,0,-132.0207247247933,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
1464,False,"{'a': 0.002, 'e': 0.053611054044221465}",25,0,-176.2125560085492,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
1465,False,"{'a': 0.002, 'e': 0.05350393908679544}",30,0,-127.85869135279334,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
1466,False,"{'a': 0.002, 'e': 0.053397038145197084}",25,8,-61.21182477939648,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 0}",1
1467,False,"{'a': 0.002, 'e': 0.053290350791822524}",35,10,-96.18281764581594,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",1
1468,False,"{'a': 0.002, 'e': 0.05318387659992216}",25,0,-134.5234560379402,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
1469,False,"{'a': 0.002, 'e': 0.053077615143599134}",20,0,-75.74953829931734,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
1470,False,"{'a': 0.002, 'e': 0.052971565997807425}",20,0,-118.80119946664344,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
1471,False,"{'a': 0.002, 'e': 0.05286572873835037}",20,0,-64.47464469155736,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
1472,False,"{'a': 0.002, 'e': 0.052760102941878724}",20,0,-128.11074366718003,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
1473,False,"{'a': 0.002, 'e': 0.05265468818588921}",20,13,-15.353398073212276,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
1474,False,"{'a': 0.002, 'e': 0.05254948404872264}",30,0,-91.55604399372947,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",0
1475,False,"{'a': 0.002, 'e': 0.05244449010956234}",25,0,-73.11383333753506,"{0: 13, 1: 6, 2: 6, 3: 0, 4: 0}",0
1476,False,"{'a': 0.002, 'e': 0.05233970594843238}",20,0,-212.48546518347274,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
1477,False,"{'a': 0.002, 'e': 0.05223513114619603}",30,0,-202.09292703343803,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
